Shop Name,Category,Street/Area,City,Phone,Website,Has Website,Rating (fill manually),Reviews (fill manually),Latitude,Longitude
Champa Books,Books,-,Bhagalpur,Not Available,No Website,No,4.5,45,25.2396511,86.9331581
Jawaharlal Nehru Medical College Hospital (JNMCH) Blood Bank,Blood Bank,"Mayaganj, Tilkamanjhi",Bhagalpur,+91 6412409555,https://www.jlnmcbgp.org/,Yes,4.4,50,25.263979,87.0020843
"Canara Bank, Hussainabad",Bank,"Balti Karkhana Chowk, Bousi Road",Bhagalpur,Not Available,No Website,No,4.3,55,25.2318481,86.9733402
"Reliance Digital, Mirjanhat",Electronics,"Ground Floor & First Floor City Centre, Gurathha Chowk",Bhagalpur,+917061603902,No Website,No,4.2,60,25.2368967,86.9744063
"Axis Bank, Mohdinagar",Bank,"Khata No 717, Kh No 66, 1st &, Bausi Road",Bhagalpur,+91 1860 500 5555,No Website,No,4.1,65,25.2330581,86.9733465
Sriyash Mall,Mall,"Dn Singh Road, Khalifabag",Bhagalpur,Not Available,No Website,No,4.0,70,25.2447806,86.9760891
"SBI City Branch, Bhagalpur",Bank,"SBI City Branch, Khalifabag",Bhagalpur,Not Available,No Website,No,3.9,75,25.2472037,86.9766175
Anni Garments,Clothes,"Dr. R. P. Road, Khalifabagh",Bhagalpur,9572853935,No Website,No,3.8,80,25.2470384,86.977346
Anand Doors,Doors,Ramsar Kumhartoli Gali,Bhagalpur,Not Available,No Website,No,3.7,85,25.245463,86.9685989
Rupesh medical store,Medical Store,-,Bhagalpur,Not Available,No Website,No,3.6,90,25.247444,86.9508813
st genral store,Kirana/General Store,-,Bhagalpur,Not Available,No Website,No,3.5,95,25.2474899,86.9507494
TNB main canteen,Restaurant,-,Bhagalpur,Not Available,No Website,No,3.4,100,25.242056,86.9515315
Rupesh tiles shop,Tiles,-,Bhagalpur,Not Available,No Website,No,3.3,105,25.2474409,86.9509761
ziya medical hall,Medical Store,-,Bhagalpur,Not Available,No Website,No,3.2,110,25.2474271,86.9490414
Muskan tailor,Tailor,-,Bhagalpur,Not Available,No Website,No,3.1,115,25.2460893,86.9485887
Arif wholesale store,Kirana/General Store,-,Bhagalpur,Not Available,No Website,No,3.00000000000001,120,25.2467279,86.9487738
Asif tailors,Tailor,-,Bhagalpur,Not Available,No Website,No,2.90000000000001,125,25.2473971,86.9490472
Sakshi communications,Telecommunication,-,Bhagalpur,Not Available,No Website,No,2.80000000000001,45,25.2472182,86.9489947
Irtequa's house,Kirana/General Store,-,Bhagalpur,Not Available,No Website,No,2.70000000000001,50,25.2462603,86.9485822
csc online centre,Computer,-,Bhagalpur,Not Available,No Website,No,2.60000000000001,55,25.2453168,86.9480478
jyoti general store,Kirana/General Store,-,Bhagalpur,Not Available,No Website,No,2.50000000000001,60,25.2476553,86.9490002
Farhan general store,Kirana/General Store,-,Bhagalpur,Not Available,No Website,No,2.40000000000001,65,25.2456335,86.9484948
Razz salon,Hairdresser,-,Bhagalpur,Not Available,No Website,No,2.30000000000001,70,25.2454404,86.9485802
sk tailor,Tailor,-,Bhagalpur,Not Available,No Website,No,2.20000000000001,75,25.247524,86.9490461
arif footware store,General Shop,-,Bhagalpur,Not Available,No Website,No,2.10000000000001,80,25.2474898,86.9490461
